0 57 9 2 1 1 57 30 14747 17352 15348 18262 14585 17313 14588 17476 14480 17033 14986 18101 14735 17475 14903 18349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
42 0 524 46 0 0 1025 10 481 530 452 558 1382 445 435 280 255 318 211 389 518 503 305 301 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 610 0 108 58 1 21 11 225 96 86 56 373 202 131 80 63 150 203 193 317 125 87 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
73 21 36 0 111 2 21 2 140 52 63 57 120 100 20 106 62 131 161 185 108 110 80 116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 3 94 59 0 30 13 2 101 50 54 74 52 95 40 81 57 132 175 202 100 100 80 146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 3 7 9 91 0 78 39 111 42 61 57 47 41 38 82 117 163 174 140 108 109 80 134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 1152 26 9 37 43 0 132 164 74 107 64 573 215 207 79 59 249 212 173 529 117 90 156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
84 4 7 8 16 67 366 0 121 52 66 72 42 62 20 95 73 155 212 209 188 210 100 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
49055 1467 452 309 285 325 501 298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13930 13521 13643 13687 13593 13609 13585 13710 13630 13102 13075 13078 13742 13770 14070 14039 14079 13159 13135 13118 13120 13106 13127 13110 13135 12734 13003 13005 12946 12962 12995 13031 13188 13237 13415 13392 14063 14021 14060 14066
57838 1303 240 178 180 168 250 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12940 13908 13896 13808 13440 13390 13407 13474 13438 14206 14239 14262 13302 13280 12930 12860 12832 13857 13913 13849 13935 13931 13937 13875 13889 13981 14000 13885 13980 13976 13535 13557 13521 13571 13515 13518 13069 13056 13035 13047
51025 1074 260 248 238 269 273 250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13217 13257 13892 13850 14064 13942 14033 13981 13993 13971 14035 13188 13498 13446 13687 13687 13657 13743 13701 13676 13770 13754 13754 13761 14068 14127 14334 13441 13439 13430 13511 13524 13549 13543 13806 13828 13957 13937 13991 13029
