0,17,9,11,32,31,15,23,40,18,24,33,28,5,6
1,38,37,6,19,34,49,10,31,18,35,41,28,22,29
2,46,43,14,30,7,44,33,12,15,26,28,21,48,24
3,25,45,8,13,48,20,39,22,42,23,21,18,41,7
4,16,27,36,40,10,29,12,42,47,24,35,21,22,8
5,49,41,47,39,40,35,32,31,42,29,44,28,30,24
6,37,34,31,38,49,18,19,17,28,41,29,1,5,10
7,48,46,33,21,44,26,43,39,20,30,41,25,5,14
8,42,45,22,23,39,21,20,25,48,36,47,13,27,5
9,40,32,24,23,29,16,17,31,11,5,42,0,49,15
10,37,29,27,35,49,22,47,19,5,16,36,40,38,34
11,32,23,20,17,45,18,41,33,5,9,31,40,15,42
12,30,36,24,46,44,21,35,47,5,16,14,40,43,42
13,39,41,48,25,20,22,26,18,45,34,5,8,49,47
14,44,30,28,26,35,43,19,46,5,47,41,12,39,7
15,43,33,32,30,28,24,46,5,31,44,11,41,17,14
16,40,36,29,27,24,42,9,47,4,5,23,35,12,10
17,31,11,32,9,18,6,0,28,49,15,5,41,23,40
18,41,34,49,13,31,5,11,45,20,23,6,22,39,17
19,37,49,35,34,38,26,14,28,41,5,6,44,47,10
20,45,48,39,33,41,25,23,13,5,21,42,11,32,7
21,39,47,36,42,48,44,7,5,20,46,12,8,33,30
22,47,39,49,42,27,5,8,13,41,10,34,23,18,29
23,42,40,45,32,20,5,11,8,18,9,22,49,39,29
24,40,30,32,12,5,36,16,29,9,35,15,47,42,21
25,48,45,20,3,13,8,39,7,21,41,42,33,23,26
26,44,39,41,14,7,48,13,19,5,28,43,33,47,46
27,36,47,10,16,42,22,29,40,35,5,8,49,21,39
28,31,43,30,14,5,15,41,44,26,19,35,49,33,32
29,40,49,16,10,5,31,35,27,37,47,24,9,36,22
30,46,44,43,24,14,12,28,35,15,5,33,21,47,32
31,49,5,28,17,6,29,32,41,37,18,40,35,19,9
32,5,40,11,15,24,23,33,9,31,20,17,41,30,28
33,43,15,7,20,46,32,30,5,41,48,44,21,28,26
34,49,38,18,37,6,19,41,13,22,31,5,39,26,28
35,47,5,44,19,49,29,30,14,10,36,12,28,24,37
36,47,42,27,21,16,40,12,24,5,35,39,29,22,8
37,49,38,19,6,34,10,29,31,35,22,5,18,41,1
38,1,37,34,6,19,49,10,31,18,41,22,35,28,29
39,48,41,47,13,21,26,5,22,20,44,42,49,8,7
40,16,24,29,23,42,5,9,32,36,47,27,49,31,35
41,18,5,39,26,49,13,20,34,28,33,31,22,19,48
42,8,23,36,40,47,21,22,5,39,27,20,45,16,32
43,33,46,30,15,28,44,14,7,26,5,32,41,24,21
44,14,30,26,46,35,47,39,21,5,43,7,12,28,33
45,20,23,25,8,11,13,18,42,48,39,41,22,5,32
46,30,43,44,7,33,12,21,14,26,15,2,24,5,28
47,35,36,5,39,22,21,42,27,44,49,29,40,10,12
48,39,20,7,25,21,13,26,33,41,45,44,8,42,5
49,5,37,31,29,34,41,19,22,18,35,47,6,10,39
